IMEI	Model	Color	XPO grade	VZW Grade	FD New Grade	New Comments	Selected	Re-Scan	FD/VZW	Matching %	FD/XPO	Matching %												
356989067574909	APL6	GOLD	C	C	C				1	50.00%	1	60.00%												
356991068618370	APL6	GOLD	C	C	D+				0		0													
354410066536072	APL6	GOLD	C	C	C				1		1													
359234067438301	APL6	GOLD	C	B	C	Too many deep nicks on B. D+	1		0		1													
358369063219288	APL6	GOLD	C	C	C	Too many deep nicks on B. D+	1		1		1													
359230065530123	APL6	GOLD	C	C	D+	Missed white discoloration defects			0		0													
359306062631963	APL6	GOLD	C	C	B	Didn't find much defects on B, missed discoloration defects which are not on logo and camera			0		0													
359301066603449	APL6	GOLD	C	C	C				1		1													
359304062420750	APL6	GOLD	C	C	F	Sim card tray doesn't match			0		0													
358370063863471	APL6	GOLD	C	C	C	Too many scratches on AA. D+	1		1		1													
359231068569407	APL6	GRAY	A	A	A				1	20.00%	1	30.00%												
359305061535241	APL6	GRAY	A	C	A				0		1													
359236063304023	APL6	GRAY	A	A	B				0		0													
359233069257149	APL6	GRAY	A	D+	F				0		0													
352020073845895	APL6	GRAY	A	A	B	Bend. F			0		0													
359302060481733	APL6	GRAY	A	A	A				1		1													
359301061076294	APL6	GRAY	A	A	D+			1	0		0													
359234068749946	APL6	GRAY	A	A	F	Bend. F			0		0													
359230067716332	APL6	GRAY	A	A	D+	Lots of Scratches on A. D+	1		0		0													
359232065218378	APL6	GRAY	A	A	B				0		0													
352019074582648	APL6	GRAY	B	A	D+	Lots of Scratches on A. D+	1		0	70.00%	0	40.00%												
352020077122556	APL6	GRAY	B	A	A				1		0													
359297063398738	APL6	GRAY	B	C	C				1		0													
354410064253241	APL6	GRAY	B	A	B				0		1													
359235063417934	APL6	GRAY	B	C	A	Does need to calculate discoloration area? There is only discoloration problem.			0		0													
359229065275481	APL6	GRAY	B	A	A				1		0													
359231061866263	APL6	GRAY	B	B	B				1		1													
354450064339285	APL6	GRAY	B	B	B	FD - Groups on UP, may be B/C. BTW, front cam is covered somehow.		1	1		1													
354449060339372	APL6	GRAY	B	C	C	Too many deep nicks on B. D+			1		0													
354406062804233	APL6	GRAY	B	B	B				1		1													
354452065305901	APL6P	GOLD	A	A	A	FD - regrade. pls ignore home btn		1	1	40.00%	1	50.00%												
354390061608466	APL6P	GOLD	A	B	A	Only see 3 defects on B			0		1													
354387066761936	APL6P	GOLD	A	A	A				1		1													
359323060659797	APL6P	GOLD	A	A	A				1		1													
354451062926669	APL6P	GOLD	A	A	B				0		0													
354389068223469	APL6P	GOLD	A	A	B				0		0													
355876064928710	APL6P	GOLD	A	A	B				0		0													
354393064156723	APL6P	GOLD	A	A	A				1		1													
354386066441473	APL6P	GOLD	A	A	A+	Only see one scratch on B			0		0													
354389067669613	APL6P	GOLD	A	A	B				0		0													
354389061363197	APL6P	GOLD	B	C	B				0	50.00%	1	60.00%												
354390060413496	APL6P	GOLD	B	D+	B				0		1													
354451061457179	APL6P	GOLD	B	A	A				1		0													
354391064636611	APL6P	GOLD	B	D	D+				0		0													
352001070085172	APL6P	GOLD	B	A	A				1		0													
355876064453032	APL6P	GOLD	B	B	B				1		1													
354455063410169	APL6P	GOLD	B	B	B				1		1													
354389068905065	APL6P	GOLD	B	D+	B				0		1													
354454064665954	APL6P	GOLD	B	A	A				1		0													
356693086487212	APL6P	GOLD	B	A	B				0		1													
354386067995717	APL6P	GRAY	C	A	D+	Lots of Scratches on A. D+	1		0	20.00%	0	30.00%												
354386068178776	APL6P	GRAY	C	A	D+	Lots of Scratches on AA. C	1		0		0													
354455068386513	APL6P	GRAY	C	D+	F				0		0													
355876063705747	APL6P	GRAY	C	D+	C				0		1													
359321060749782	APL6P	GRAY	C	B	A				0		0													
354392063284593	APL6P	GRAY	C	D+	D+				1		0													
354451065685007	APL6P	GRAY	C	A	B				0		0													
355877067727653	APL6P	GRAY	C	A	B				0		0													
359322061512989	APL6P	GRAY	C	B	C				0		1													
355877062520632	APL6P	GRAY	C	C	C				1		1													
355771074187011	APL6S	ROSE GOLD	C	B	A				0	60.00%	0	30.00%												
355771077575741	APL6S	ROSE GOLD	C	C	A				0		0													
358566077086815	APL6S	ROSE GOLD	C	B	B				1		0													
355768077430083	APL6S	ROSE GOLD	C	C	C				1		1													
355767077142557	APL6S	ROSE GOLD	C	D+	D+				1		0													
355432075798336	APL6S	ROSE GOLD	C	B	B				1		0													
355691070359705	APL6S	ROSE GOLD	C	B	B	FD - nothing on A		1	1		0													
355430075955666	APL6S	ROSE GOLD	C	B	C	FD - no nick/pindot on Back, what is DC on Area 1?		1	0		1													
355767077205370	APL6S	ROSE GOLD	C	C	C				1		1													
355763077254401	APL6S	ROSE GOLD	C	C	A	Cannot detect white discoloration on B			0		0													
355691079149040	APL6S	GRAY	A	A	A				1	20.00%	1	20.00%												
359487085405625	APL6S	GRAY	A	A+	B				0		0													
358567077937643	APL6S	GRAY	A	A+	B	1 Scratch on AA & Rear Cam area discoloration	1		0		0													
355766077602008	APL6S	GRAY	A	B	D+	FD - log may be wrong, too many scratches on Zone2. should be D+		1	0		0													
355769076917419	APL6S	GRAY	A	C	D+	FD - many thin scratches on AA <18 , may be C		1	0		0													
