Trial	IMEI	Model	Color	VZW Adjusted Grade	FD Adjusted Grade	FD/VZW	New Matching %
270	356989067574909	APL6	GOLD	C	C	1	80.00%
	356991068618370	APL6	GOLD	C	B	0	
	354410066536072	APL6	GOLD	C	C	1	
	359234067438301	APL6	GOLD	B	B	1	
	358369063219288	APL6	GOLD	C	C	1	
	359230065530123	APL6	GOLD	C	C	1	
	359306062631963	APL6	GOLD	C	B	0	
	359301066603449	APL6	GOLD	C	C	1	
	359304062420750	APL6	GOLD	C	C	1	
	358370063863471	APL6	GOLD	C	C	1	
270	359231068569407	APL6	GRAY	A	A	1	90.00%
	359305061535241	APL6	GRAY	A	A	1	
	359236063304023	APL6	GRAY	A	A	1	
	359233069257149	APL6	GRAY	D+	D+	1	
	352020073845895	APL6	GRAY	A	B	0	
	359302060481733	APL6	GRAY	A	A	1	
	359301061076294	APL6	GRAY	A	A	1	
	359234068749946	APL6	GRAY	A	A	1	
	359230067716332	APL6	GRAY	A	A	1	
	359232065218378	APL6	GRAY	A	A	1	
270	352019074582648	APL6	GRAY	A	B	0	90.00%
	352020077122556	APL6	GRAY	A	A	1	
	359297063398738	APL6	GRAY	C	C	1	
	354410064253241	APL6	GRAY	A	A	1	
	359235063417934	APL6	GRAY	A	A	1	
	359229065275481	APL6	GRAY	A	A	1	
	359231061866263	APL6	GRAY	B	B	1	
	354450064339285	APL6	GRAY	B	B	1	
	354449060339372	APL6	GRAY	C	C	1	
	354406062804233	APL6	GRAY	B	B	1	
117	355786070800268	APL6	GRAY	A	A	1	53.33%
	359304066950653	APL6	GRAY	A	A	1	
	358373063021546	APL6	GRAY	A	A	1	
	359307064822667	APL6	GRAY	A	A	1	
	352016073952855	APL6	GRAY	B	A	0	
	359232060252968	APL6	GRAY	A	A	1	
	359230061233185	APL6	GRAY	B	A	0	
	359232065623387	APL6	GRAY	C	D+	0	
	352022074784115	APL6	GRAY	A	A	1	
	359236066054716	APL6	GRAY	A	A	1	
	359303063494772	APL6	GRAY	A	A+	0	
	359302061767551	APL6	GRAY	A	A	1	
	359305066097825	APL6	GRAY	C	B	0	
	359307064738020	APL6	GRAY	A	A+	0	
	358370069408719	APL6	GRAY	B	A	0	
270	354452065305901	APL6P	GOLD	A	A	1	90.00%
	354390061608466	APL6P	GOLD	B	B	1	
	354387066761936	APL6P	GOLD	A	A	1	
	359323060659797	APL6P	GOLD	A	A	1	
	354451062926669	APL6P	GOLD	A	A	1	
	354389068223469	APL6P	GOLD	A	B	0	
	355876064928710	APL6P	GOLD	A	A	1	
	354393064156723	APL6P	GOLD	A	A	1	
	354386066441473	APL6P	GOLD	A	A	1	
	354389067669613	APL6P	GOLD	A	A	1	
